,Unnamed: 0,track_uri,track_id,track_name,album_release_date,track_year,popular_year,Top100
715,715,spotify:track:2aibwv5hGXSgw7Yru8IYTO,2aibwv5hGXSgw7Yru8IYTO,Snow (Hey Oh),2006-05-09,2006,2007,Y
716,716,spotify:track:18lR4BzEs7e3qzc0KVkTpU,18lR4BzEs7e3qzc0KVkTpU,What I've Done,2007-05-14,2007,2007,Y
717,717,spotify:track:6ic8OlLUNEATToEFU3xmaH,6ic8OlLUNEATToEFU3xmaH,Gimme More,2007-10-25,2007,2007,Y
718,718,spotify:track:0ZUo4YjG4saFnEJhdWp9Bt,0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,2005-11-14,2005,2007,Y
719,719,spotify:track:7x8dCjCr0x6x2lXKujYD34,7x8dCjCr0x6x2lXKujYD34,The Pretender,2007-09-25,2007,2007,Y
720,720,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,1hGy2eLcmC8eKx7qr1tOqx,Beautiful Girls,2007-07-23,2007,2007,Y
721,721,spotify:track:3Zwu2K0Qa5sT6teCCHPShP,3Zwu2K0Qa5sT6teCCHPShP,Thnks fr th Mmrs,2007-01-01,2007,2007,Y
722,722,spotify:track:0mEdbdeRFQwBhN4xfyIeUM,0mEdbdeRFQwBhN4xfyIeUM,Can't Tell Me Nothing,2007-09-11,2007,2007,Y
723,723,spotify:track:0UFDKFqW2oGspYeYqo9wjA,0UFDKFqW2oGspYeYqo9wjA,Bleed It Out,2007-05-14,2007,2007,Y
724,724,spotify:track:0JJP0IS4w0fJx01EcrfkDe,0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In",2007-09-25,2007,2007,Y
725,725,spotify:track:6SpLc7EXZIPpy0sVko0aoU,6SpLc7EXZIPpy0sVko0aoU,Misery Business,2007-06-11,2007,2007,Y
726,726,spotify:track:4wzjNqjKAKDU82e8uMhzmr,4wzjNqjKAKDU82e8uMhzmr,Face Down,2006-01-01,2006,2007,Y
727,727,spotify:track:66TRwr5uJwPt15mfFkzhbi,66TRwr5uJwPt15mfFkzhbi,Crank That (Soulja Boy),2007-01-01,2007,2007,Y
728,728,spotify:track:1tkMs9wDPknQ3ZHcKDw1ES,1tkMs9wDPknQ3ZHcKDw1ES,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),2007-06-05,2007,2007,Y
729,729,spotify:track:45hOioMDJktr86iKDHC8gr,45hOioMDJktr86iKDHC8gr,Girlfriend,2007-04-17,2007,2007,Y
730,730,spotify:track:4eAwB5pnKFTmsgc3zWoYO0,4eAwB5pnKFTmsgc3zWoYO0,Fake It,2007-01-01,2007,2007,Y
731,731,spotify:track:5TmFTHZp7HjBXjjsFvCY6h,5TmFTHZp7HjBXjjsFvCY6h,Destination Calabria - Radio Edit,2007-02-19,2007,2007,Y
732,732,spotify:track:28IEbk5a7twNTbUEvWslUb,28IEbk5a7twNTbUEvWslUb,Paralyzer,2007-01-01,2007,2007,Y
